SN,ZONE,STATE,LGAs,NAME OF WARD (INEC),NAME OF WARD (STATE),HEALTH FACILITY,,,,,,,
242,NEZ,ADAMAWA,GUYUK,GUYUK,GUYUK,GUYUK MCH,,,,,,,
243,NEZ,ADAMAWA,GUYUK,KOLA,KOLA,KOLA MCH,,,,,,,
244,NEZ,ADAMAWA,GUYUK,LOKORO,LOKORO,LOKORO HC,,,,,,,
245,NEZ,ADAMAWA,GUYUK,PURAKAYO,PURAKAYO,PURAKAYO HC,,,,,,,
246,NEZ,ADAMAWA,HONG,BANGSHIKA,BANGSHIKA,KALA'A PHCC,,,,,,,
247,NEZ,ADAMAWA,HONG,DAKSIRI,DAKSIRI,DAKSIRI GARI HC,,,,,,,
248,NEZ,ADAMAWA,HONG,GARAHA,GARAHA,GARAHA MCH,,,,,,,
249,NEZ,ADAMAWA,HONG,GAYA SKALMI,GAYA SKALMI,KUVA GAYA HC,,,,,,,
250,NEZ,ADAMAWA,HONG,HILDI,HILDI,HILDI HC,,,,,,,
251,NEZ,ADAMAWA,HONG,HONG,HONG,HONG C HC,,,,,,,
252,NEZ,ADAMAWA,HONG,HOSHERI-ZUM,HOSHERI-ZUM,KWAKWAAH HC,,,,,,,
253,NEZ,ADAMAWA,HONG,KWARHI,KWARHI,KWARHI HC,,,,,,,
254,NEZ,ADAMAWA,HONG,MAYO-LOPE,MAYO-LOPE,KURMI MCH,,,,,,,
255,NEZ,ADAMAWA,HONG,SHANGUI,SHANGUI,MUNGA HC,,,,,,,
256,NEZ,ADAMAWA,HONG,THILBANG,THILBANG,PELLA HC,,,,,,,
257,NEZ,ADAMAWA,HONG,UBA,UBA,UBA B HC,,,,,,,
258,NEZ,ADAMAWA,JADA,DANABA,DANABA,DANABA PRIMARY HEALTH CARE CENTER,,,,,,,
259,NEZ,ADAMAWA,JADA,JADA I,JADA I,JADA 1 PRIMARY HEALTH CARE CENTER,,,,,,,
260,NEZ,ADAMAWA,JADA,JADA II,JADA II,JADA 2 PRIMARY HEALTH CARE CENTRE,,,,,,,
261,NEZ,ADAMAWA,JADA,KOMA I,KOMA I,CHONCHA HEALTH POST,,,,,,,
262,NEZ,ADAMAWA,JADA,KOMA II,KOMA II,BETTI PRIMARY HEALTH CARE CENTER,,,,,,,
263,NEZ,ADAMAWA,JADA,LEKO,LEKO,SO'O PHCC,,,,,,,
264,NEZ,ADAMAWA,JADA,MAPEO,MAPEO,MAPEO PHCC NOT LENGDO HEALTH POST,,,,,,,
265,NEZ,ADAMAWA,JADA,MAYO-KALAYE,MAYO-KALAYE,WURO ABBO PHC,,,,,,,
266,NEZ,ADAMAWA,JADA,MBURO,MBULO,MBULO PHCC,,,,,,,
267,NEZ,ADAMAWA,JADA,NYIBANGO,NYIBANGO,DASHEN HC,,,,,,,
268,NEZ,ADAMAWA,JADA,YELLI,YELLI,KOJOLI PHCC,,,,,,,
269,NEZ,ADAMAWA,LAMURDE,DUBWANGE,DUBWANGE,DUBWANGE PHCC,,,,,,,
270,NEZ,ADAMAWA,LAMURDE,GYAWANA,GYAWANA,GYAWANA PRIMARY HEALTH CARE CENTRE,,,,,,,
271,NEZ,ADAMAWA,LAMURDE,LAFIYA,LAFIYA,LAFIYA WAJA PRIMARY HEALTH CARE CINIC,,,,,,,
272,NEZ,ADAMAWA,LAMURDE,LAMURDE,LAMURDE,LAMURDE MCH,,,,,,,
273,NEZ,ADAMAWA,LAMURDE,NGBAKOWO,NGBAKOWO,NGBAKAWO PRIMARY HEALTH CENTRE,,,,,,,
274,NEZ,ADAMAWA,LAMURDE,NGBEBONGUN,NGBEBONGUN,SABON LAYI PHCC,,,,,,,
275,NEZ,ADAMAWA,LAMURDE,OPALO,OPALO,OPALO PHCC,,,,,,,
276,NEZ,ADAMAWA,LAMURDE,RIGANGE,RIGANGE,RIGANGE PHCC,,,,,,,
277,NEZ,ADAMAWA,LAMURDE,SUWA,SUWA,SUWA PHCC,,,,,,,
278,NEZ,ADAMAWA,LAMURDE,WADUKU,WADUKU,WADUKU PHCC,,,,,,,
279,NEZ,ADAMAWA,MADAGALI,BEBEL,BEBEL,HUMBUTUDI PHCC,,,,,,,
280,NEZ,ADAMAWA,MADAGALI,DUHHU/SHUWA,DUHU,DUHU HC,,,,,,,
281,NEZ,ADAMAWA,MADAGALI,GULAK,GULAK,BAKIN NDUTSE HEALT POST,,,,,,,
282,NEZ,ADAMAWA,MADAGALI,HYAMBULA,HYAMBULA,HYAMBULA II HC,,,,,,,
283,NEZ,ADAMAWA,MADAGALI,K/WURO NGAYANDI,K/WURO NGAYANDI,KIRCHINGA MCH,,,,,,,
284,NEZ,ADAMAWA,MADAGALI,MADAGALI,MADAGALI,MADAGALI HC,,,,,,,
285,NEZ,ADAMAWA,MADAGALI,PALLAM,PALLAM,PALLAM MCH,,,,,,,
286,NEZ,ADAMAWA,MADAGALI,SHELMI/VAPURA,SUKUR,MILDU MODEL HEALTH CENTRE,,,,,,,
287,NEZ,ADAMAWA,MADAGALI,WAGGA,WAGGA,WAGGA MCH,,,,,,,
288,NEZ,ADAMAWA,MADAGALI,WULA,WULA,WULA MCH,,,,,,,
289,NEZ,ADAMAWA,MAIHA,BELEL,BELEL,BELEL MCH,,,,,,,
290,NEZ,ADAMAWA,MAIHA,HUMBUTUDI,HUMBUTUDI,HUMBUTUDI PHCC,,,,,,,
291,NEZ,ADAMAWA,MAIHA,KONKOL,KONKOL,KONKOL MCH,,,,,,,
292,NEZ,ADAMAWA,MAIHA,MAIHA GARI,MAIHA GARI,MAIHA GARI MCH,,,,,,,
293,NEZ,ADAMAWA,MAIHA,MANJEKIN,MANJEKIN,MANJEKIN PHCC,,,,,,,
294,NEZ,ADAMAWA,MAIHA,MAYO-NGULI,MAYO-NGULI,MAYO-NGULI MCH,,,,,,,
295,NEZ,ADAMAWA,MAIHA,PAKKA,PAKKA,PAKKA HC,,,,,,,
296,NEZ,ADAMAWA,MAIHA,SORAU A,SORAU A,WURO-LADDE MCH,,,,,,,
297,NEZ,ADAMAWA,MAIHA,SORAU B,SORAU B,SORAU MCH,,,,,,,
298,NEZ,ADAMAWA,MAIHA,TAMBAJAM,TAMBAJAM,TAMBAJAM MCH,,,,,,,
299,NEZ,ADAMAWA,MAYO-BELWA,BAJAMA,BAJAMA,BAJAMA PHCC,,,,,,,
300,NEZ,ADAMAWA,MAYO-BELWA,BINYERE,BINYERE,BINYERE PHCC,,,,,,,
301,NEZ,ADAMAWA,MAYO-BELWA,GANGFADA,GANGFADA,GANGFADA PHCC,,,,,,,
302,NEZ,ADAMAWA,MAYO-BELWA,GENGLE,GENGLE,GENLE PHCC,,,,,,,
303,NEZ,ADAMAWA,MAYO-BELWA,GOROBI,GOROBI,YELWA PHCC,,,,,,,
304,NEZ,ADAMAWA,MAYO-BELWA,MAYO BELWA,MBILLA,MAYO BELWA PHCC,,,,,,,
305,NEZ,ADAMAWA,MAYO-BELWA,MAYO-FARANG,MAYO-FARANG,MAYO FARANG PHCC,,,,,,,
306,NEZ,ADAMAWA,MAYO-BELWA,NASSARAWA JERENG,JERENG,JERENG PHCC,,,,,,,
307,NEZ,ADAMAWA,MAYO-BELWA,NDIKONG,NDIKONG,NDIKONG PHCC,,,,,,,
308,NEZ,ADAMAWA,MAYO-BELWA,RIBADU,RIBADU,RIBADU PRIMARY HEALTH CENTRE,,,,,,,
309,NEZ,ADAMAWA,MAYO-BELWA,TOLA,TOLA,TOLA PHCC,,,,,,,
310,NEZ,ADAMAWA,MAYO-BELWA,YOFFO,YOFFO,BINKOLA PHCC,,,,,,,
311,NEZ,ADAMAWA,MICHIKA, MUNKAVA-CITTA,MUNKAVA CHITA,NKAFAMIYA PHCC,,,,,,,
312,NEZ,ADAMAWA,MICHIKA,BAZZA MARGHI,BAZZA MARGHI,BAZZA TOWN HC,,,,,,,
313,NEZ,ADAMAWA,MICHIKA,FUTUDOU/FUTULESS,FUTU,FUTU PHC,,,,,,,
314,NEZ,ADAMAWA,MICHIKA,GARTA/GHUMCHI,GARTA,GARTA HC,,,,,,,
315,NEZ,ADAMAWA,MICHIKA,JEGALAMBU,JEGALAMBU,JEGALAMBU MODEL HEALTH CENTRE,,,,,,,
316,NEZ,ADAMAWA,MICHIKA,MADZI,MADZI,KUBUROSHOSHO MCH,,,,,,,
317,NEZ,ADAMAWA,MICHIKA,MICHIKA I,MICHIKA I,MICHIKA TOWN HC,,,,,,,
318,NEZ,ADAMAWA,MICHIKA,MICHIKA II,MICHIKA II,MICHIKA PHC,,,,,,,
319,NEZ,ADAMAWA,MICHIKA,MINKISI/WURO NGIKI,MINKISSI-WURO NGIKI,MINKISSI HC,,,,,,,
320,NEZ,ADAMAWA,MICHIKA,MODA/OLAKA/GENJAYO,MODA-NDAKKA,MODA HC,,,,,,,
321,NEZ,ADAMAWA,MICHIKA,SINA/KWANDE/KAMALE,SINA KAMALE,KAMALE HC,,,,,,,
322,NEZ,ADAMAWA,MICHIKA,THUKUDOU/SUFUKU/ZAH,ZAH,ZAHGRETIA PHCC,,,,,,,
323,NEZ,ADAMAWA,MICHIKA,TSUKUMU/TILLIJO,TSUKUMU TILIJO,TSUKUMU PHCC,,,,,,,
324,NEZ,ADAMAWA,MICHIKA,TUMBARA NGABILLI,TUMBARA NGABILI,KWAPALE MCH,,,,,,,
325,NEZ,ADAMAWA,MICHIKA,VI/BOKKA,VI-BOKKA,BOKKA HC,,,,,,,
326,NEZ,ADAMAWA,MICHIKA,WAMBILIMI/TILLI,WABILIMI-TILLI,WABILIMI MCH,,,,,,,
327,NEZ,ADAMAWA,MUBI NORTH,BAHULI,BAHULI,BAHULI PHCC,,,,,,,
328,NEZ,ADAMAWA,MUBI NORTH,BETSO,BETSO,BETSO PHCC,,,,,,,
329,NEZ,ADAMAWA,MUBI NORTH,DIGIL,DIGIL,DIGIL PHCC,,,,,,,
330,NEZ,ADAMAWA,MUBI NORTH,KOLERE,KOLERE,KOLERE PHCC,,,,,,,
331,NEZ,ADAMAWA,MUBI NORTH,LOKUWA,LOKUWA,LOKUWA PHCC,,,,,,,
332,NEZ,ADAMAWA,MUBI NORTH,MAYO BANI,MAYO BANI,MAYO BANI PHCC,,,,,,,
333,NEZ,ADAMAWA,MUBI NORTH,MIJILU,MIJILU,MIZA PHCC,,,,,,,
334,NEZ,ADAMAWA,MUBI NORTH,MUCHALLA,MUCHALLA,MUCHALLA FMHC,,,,,,,
335,NEZ,ADAMAWA,MUBI NORTH,SABON LAYI,SABON LAYI,WURO ALKALI PHCC,,,,,,,
336,NEZ,ADAMAWA,MUBI NORTH,VIMTIM,VIMTIM,VIMTIM PHCC,,,,,,,
337,NEZ,ADAMAWA,MUBI NORTH,YELWA,YELWA,KOCHIFA PHCC,,,,,,,
338,NEZ,ADAMAWA,MUBI SOUTH,DIRBISHI,DIRBISHI,DIRBISHI PHCC,,,,,,,
339,NEZ,ADAMAWA,MUBI SOUTH,DUVU,DUVU,LAMORDE PHCC,,,,,,,
340,NEZ,ADAMAWA,MUBI SOUTH,GELLA,GELLA,MUJARA PHCC,,,,,,,
341,NEZ,ADAMAWA,MUBI SOUTH,GUDE,GUDE,DIRMA PHCC,,,,,,,
342,NEZ,ADAMAWA,MUBI SOUTH,KWAJA,KWAJA,KWAJA MCH,,,,,,,
343,NEZ,ADAMAWA,MUBI SOUTH,LAMORDE,LAMORDE,LAMORDE PHCC,,,,,,,
344,NEZ,ADAMAWA,MUBI SOUTH,MUGULBU,MUGULBU,MUGULBU HC,,,,,,,
345,NEZ,ADAMAWA,MUBI SOUTH,MUJARA,MUJARA,MUJARA PHCC,,,,,,,
346,NEZ,ADAMAWA,MUBI SOUTH,NASSARAWO,NASSARAWO,NASSARAWO H POST,,,,,,,
347,NEZ,ADAMAWA,MUBI SOUTH,NDUKU,NDUKU,KAGI MCH,,,,,,,
348,NEZ,ADAMAWA,NUMAN,BARE,BARE,BARE MCH,,,,,,,
349,NEZ,ADAMAWA,NUMAN,BOLKI,BOLKI,NZUMOSU MCH,,,,,,,
350,NEZ,ADAMAWA,NUMAN,GAMADIO,GAMADIO,GAMADIO HC,,,,,,,
351,NEZ,ADAMAWA,NUMAN,IMBURU,IMBURU,IMBURU HC,,,,,,,
352,NEZ,ADAMAWA,NUMAN,KODOMTI,KODOMTI,SHAFURON HC,,,,,,,
353,NEZ,ADAMAWA,NUMAN,NUMAN I,NUMAN I,BAMATATO HC,,,,,,,
354,NEZ,ADAMAWA,NUMAN,NUMAN II,NUMAN II,PARE HC,,,,,,,
355,NEZ,ADAMAWA,NUMAN,NUMAN III,NUMAN III,MAKERA HC,,,,,,,
356,NEZ,ADAMAWA,NUMAN,SABON PEGI,SABON PEGI,SABON PEGI NUMAN HC,,,,,,,
357,NEZ,ADAMAWA,NUMAN,VULPI,VULPI,VULPI HC,,,,,,,
358,NEZ,ADAMAWA,SHELLENG,BAKTA,BAKTA,BAKTA HC,,,,,,,
359,NEZ,ADAMAWA,SHELLENG,BODWAI,BODWAI,BODWAI HC,,,,,,,
360,NEZ,ADAMAWA,SHELLENG,GUNDO,GUNDO,BOBERE HC,,,,,,,
361,NEZ,ADAMAWA,SHELLENG,GWAPOPOLOK,GWAPOPOLOK,KARLAJE HC,,,,,,,
362,NEZ,ADAMAWA,SHELLENG,JUMBUL,JUMBUL,JAMALI HC,,,,,,,
363,NEZ,ADAMAWA,SHELLENG,KETEMBERE,KETEMBERE,KETEMBERE HC,,,,,,,
364,NEZ,ADAMAWA,SHELLENG,KIRI,KIRI,KIRI PRIMARY HEALTH CENTRE,,,,,,,
365,NEZ,ADAMAWA,SHELLENG,LIBBO,LIBBO,WUROYANKA HC,,,,,,,
366,NEZ,ADAMAWA,SHELLENG,SHELLENG,SHELLENG,SHELLENG NYCS HC,,,,,,,
367,NEZ,ADAMAWA,SHELLENG,TALUM,TALUM,GWAGARAP HC,,,,,,,
368,NEZ,ADAMAWA,SONG,DIRMA,DIRMA,DIRMA PHCC,,,,,,,
369,NEZ,ADAMAWA,SONG,DUMNE,DUMNE,DUMNE HC,,,,,,,
370,NEZ,ADAMAWA,SONG,GUDU-MBOI,GUDU-MBOI,GUDU MCH,,,,,,,
371,NEZ,ADAMAWA,SONG,KILANGE FURNA,KILANGE FURNA,WURO DEE HC,,,,,,,
372,NEZ,ADAMAWA,SONG,KILANGE HIRNA,KILANGE HIRNA,WURO DAUDU MCH,,,,,,,
373,NEZ,ADAMAWA,SONG,SIGIRE,SIGIRE,SIGIRE HC,,,,,,,
374,NEZ,ADAMAWA,SONG,SONG GARI,SONG GARI,CLINIC B HC,,,,,,,
375,NEZ,ADAMAWA,SONG,SONG WAJE,SONG WAJE,MURKE MCH,,,,,,,
376,NEZ,ADAMAWA,SONG,SUKTU,SUKTU,SUKTU SARKI HC,,,,,,,
377,NEZ,ADAMAWA,SONG,WALTANDI,WALTANDI,WALTANDI HC,,,,,,,
378,NEZ,ADAMAWA,SONG,ZUMO,ZUMO,ZUMO HC,,,,,,,
379,NEZ,ADAMAWA,TOUNGO,DAWO I,DAWO I,GANSEINI HEALTH CLINIC,,,,,,,
380,NEZ,ADAMAWA,TOUNGO,DAWO II,DAWO II,DADUKEN HEALTH POST,,,,,,,
381,NEZ,ADAMAWA,TOUNGO,GUMTI,GUMTI,GUMTI HEALTH POST,,,,,,,
382,NEZ,ADAMAWA,TOUNGO,KIRI I,KIRI I,KIRI HEALTH POST,,,,,,,
383,NEZ,ADAMAWA,TOUNGO,KIRI II,KIRI II,TIMBO HEALTH CLINIC,,,,,,,
384,NEZ,ADAMAWA,TOUNGO,KOGIN BABA I,KOGIN BABA I,KOGIN BABA HEALTH CLINIC,,,,,,,
385,NEZ,ADAMAWA,TOUNGO,KOGIN BABA II,KOGIN BABA II,KILALAI HEALTH CLINIC,,,,,,,
386,NEZ,ADAMAWA,TOUNGO,TOUNGO I,TOUNGO I,TOUNGO I PHCC,,,,,,,
387,NEZ,ADAMAWA,TOUNGO,TOUNGO II,TOUNGO II,TOUNGO II PHCCC,,,,,,,
388,NEZ,ADAMAWA,TOUNGO,TOUNGO III,TOUNGO III,WURO HAUSA PHCC,,,,,,,
389,NEZ,ADAMAWA,YOLA NORTH,AIKALAWA,AIKALAWA,ATIKU ABUBAKAR HEALTH CLINIC,,,,,,,
390,NEZ,ADAMAWA,YOLA NORTH,AJIYA,AJIYA,AJIYA HC,,,,,,,
391,NEZ,ADAMAWA,YOLA NORTH,DOUBELI,DOUBELI,MAJOR AMINU HC,,,,,,,
392,NEZ,ADAMAWA,YOLA NORTH,GWADABAWA,GWADABAWA,GWADABAWA CLINIC,,,,,,,
393,NEZ,ADAMAWA,YOLA NORTH,JAMBUTU,JAMBUTU,JAMBUTU CLINIC,,,,,,,
394,NEZ,ADAMAWA,YOLA NORTH,KAREWA,KAREWA,MALAMRE HC,,,,,,,
395,NEZ,ADAMAWA,YOLA NORTH,LIMAWA,LIMAWA,MOH'D GAMBO JIMETA HC,,,,,,,
396,NEZ,ADAMAWA,YOLA NORTH,LUGGERE,LUGGERE,LUGGERE OHC,,,,,,,
397,NEZ,ADAMAWA,YOLA NORTH,NASSARAWO,NASSARAWO,NASSARAWO H POST,,,,,,,
398,NEZ,ADAMAWA,YOLA NORTH,RUMDE,RUMDE,RUMDE CLINIC,,,,,,,
399,NEZ,ADAMAWA,YOLA NORTH,YELWA,YELWA,ABUBAKAR ADAMU NAMTARI HC,,,,,,,
400,NEZ,ADAMAWA,YOLA SOUTH,BAKO,BAKO,BAKO HC,,,,,,,
401,NEZ,ADAMAWA,YOLA SOUTH,BOLE/YOLDE PATE,BOLE-YOLDE PATE,SHAGARI HC,,,,,,,
402,NEZ,ADAMAWA,YOLA SOUTH,DARAWO,ADARAWO,WURO HAUSA PHCC,,,,,,,
403,NEZ,ADAMAWA,YOLA SOUTH,MAKAMA A,MAKAMA A,LAMIDO ALIYU HC,,,,,,,
404,NEZ,ADAMAWA,YOLA SOUTH,MAKAMA B,MAKAMA B,NANA ASMA'U PHCC,,,,,,,
405,NEZ,ADAMAWA,YOLA SOUTH,MBAMBA,MBAMBA,ARDO YAHAYA PHCC,,,,,,,
406,NEZ,ADAMAWA,YOLA SOUTH,MBAMOI,MBAMOI,BAKARI MBAMOI HC,,,,,,,
407,NEZ,ADAMAWA,YOLA SOUTH,NAMTARI,NAMTARI,NAMTARI MANGA HC,,,,,,,
408,NEZ,ADAMAWA,YOLA SOUTH,NSORORE,NGURORE,NGURORE MCH,,,,,,,
409,NEZ,ADAMAWA,YOLA SOUTH,TOUNGO,TOUNGO,TOUNGO HC,,,,,,,
410,NEZ,ADAMAWA,YOLA SOUTH,YOLDE KOHI,YOLDE KOHI,WURO-ARDO HC,,,,,,,
411,SSZ,AKWA IBOM,ABAK,ABAK URBAN 1,,IBANANG EDIENE HEALTH CENTRE,,,,,,,
412,SSZ,AKWA IBOM,ABAK,ABAK URBAN 11,,HEALTH CENTRE ITUNG,,,,,,,
413,SSZ,AKWA IBOM,ABAK,ABAK URBAN III,,OPERATIONAL BASE PRIMARY HEALTH CENTRE ABAK,,,,,,,
414,SSZ,AKWA IBOM,ABAK,ABAK URBAN IV,,HEALTH POST UTU IKOT EBAK,,,,,,,
415,SSZ,AKWA IBOM,ABAK,AFAHA OBONG I,,IKOT AKPAN IKPONG HEALTH CENTRE,,,,,,,
416,SSZ,AKWA IBOM,ABAK,AFAHA OBONG II,,AFAHA OBONG HEALTH CENTRE,,,,,,,
417,SSZ,AKWA IBOM,ABAK,MIDIM I,,HEALTH CENTRE MIDIM,,,,,,,
418,SSZ,AKWA IBOM,ABAK,MIDIM II,,HEALTH POST IKOT EDONG,,,,,,,
419,SSZ,AKWA IBOM,ABAK,OTORO I,,ABIAKPO HEALTH CENTRE,,,,,,,
420,SSZ,AKWA IBOM,ABAK,OTORO II,,HEALTH POST IKOT OSSOM,,,,,,,
421,SSZ,AKWA IBOM,ABAK,OTORO III,,IBONG OTORO HEALTH CENTRE,,,,,,,
422,SSZ,AKWA IBOM,EASTERN OBOLO,EASTERN OBOLO I,,OKOROETTE PRIMARY HEALTH CENTRE,,,,,,,
423,SSZ,AKWA IBOM,EASTERN OBOLO,EASTERN OBOLO II,,H/P OKOROMBOKHO,,,,,,,
424,SSZ,AKWA IBOM,EASTERN OBOLO,EASTERN OBOLO III,,PHC AMADAKA,,,,,,,
425,SSZ,AKWA IBOM,EASTERN OBOLO,EASTERN OBOLO IV,,ELEKPON HEALTH POST,,,,,,,
426,SSZ,AKWA IBOM,EASTERN OBOLO,EASTERN OBOLO IX,,IKONTA OBIANGA PRIMARY HEALTH CENTRE,,,,,,,
427,SSZ,AKWA IBOM,EASTERN OBOLO,EASTERN OBOLO V,,EMEREOKO HEALTH CENTRE,,,,,,,
428,SSZ,AKWA IBOM,EASTERN OBOLO,EASTERN OBOLO VI,,AMAUKA PHC,,,,,,,
429,SSZ,AKWA IBOM,EASTERN OBOLO,EASTERN OBOLO VII,,PHC OKOROINYONG,,,,,,,
430,SSZ,AKWA IBOM,EASTERN OBOLO,EASTERN OBOLO VIII,,PHC IKO,,,,,,,
431,SSZ,AKWA IBOM,EASTERN OBOLO,EASTERN OBOLO X,,ATABRIKANG HEALTH POST,,,,,,,
432,SSZ,AKWA IBOM,EKET,CENTRAL I,,AFAHA ATAI HEALTH POST,,,,,,,
433,SSZ,AKWA IBOM,EKET,CENTRAL II,,IDUNG INIANG HEALTH CENTRE,,,,,,,
434,SSZ,AKWA IBOM,EKET,CENTRAL III,,HEALTH POST IKOT USOEKONG,,,,,,,
435,SSZ,AKWA IBOM,EKET,CENTRAL IV,,EFFOI HEALTH CENTRE,,,,,,,
436,SSZ,AKWA IBOM,EKET,CENTRAL V,,ODIO HEALTH CENTRE,,,,,,,
437,SSZ,AKWA IBOM,EKET,OKON I,,NDUO EDUO HEALTH POST,,,,,,,
438,SSZ,AKWA IBOM,EKET,OKON II,,IKOT UKPONG HEALTH POST ,,,,,,,
439,SSZ,AKWA IBOM,EKET,URBAN I,,IKOT OKUDOMO HEALTH CENTRE,,,,,,,
440,SSZ,AKWA IBOM,EKET,URBAN II,,IDUA HEALTH POST,,,,,,,
441,SSZ,AKWA IBOM,EKET,URBAN III,,IKOT EBOK POLY CLINIC OPERATIONAL BASE,,,,,,,
442,SSZ,AKWA IBOM,EKET,URBAN IV,,MKPOK MODEL HEALTH CENTRE,,,,,,,
443,SSZ,AKWA IBOM,ESIT EKET,AKPAUTONG,,IKO EFAK HEALTH POST,,,,,,,
444,SSZ,AKWA IBOM,ESIT EKET,EBI EKPI,,EBE EKPI HEALTH POST,,,,,,,
445,SSZ,AKWA IBOM,ESIT EKET,EBIGHE OKPONO,,EBIGHI OKPONO HEALTH POST,,,,,,,
446,SSZ,AKWA IBOM,ESIT EKET,EDOR,,EDOR HEALTH CENTRE,,,,,,,
447,SSZ,AKWA IBOM,ESIT EKET,EKPENE OBO,,EKPENE OBO HEALTH POST,,,,,,,
448,SSZ,AKWA IBOM,ESIT EKET,ETEBI AKWATA,,ETEBI HEALTH CENTRE,,,,,,,
449,SSZ,AKWA IBOM,ESIT EKET,ETEBI IDUNG ASSAN,,ETEBI IDUNG ASSAN HEALTH CENTRE,,,,,,,
450,SSZ,AKWA IBOM,ESIT EKET,IKPA,,IKPA HEALTH CENTRE,,,,,,,
451,SSZ,AKWA IBOM,ESIT EKET,NTAK INYANG,,AFAHA EKPENEDI HEATH POST,,,,,,,
452,SSZ,AKWA IBOM,ESIT EKET,UQUO,,PRIMARY HEALTH CENTRE BASE UQUO,,,,,,,
453,SSZ,AKWA IBOM,ESSIEN UDIM,ADIASIM,,ADIASIM HEALTH CENTRE,,,,,,,
454,SSZ,AKWA IBOM,ESSIEN UDIM,AFAHA,,AFAHA IKOT EBAK PRIMARY HEALTH CENTRE,,,,,,,
455,SSZ,AKWA IBOM,ESSIEN UDIM,EKPEYONG ATAI I,,MIDIM ATAN HEALTH CENTRE,,,,,,,
456,SSZ,AKWA IBOM,ESSIEN UDIM,EKPEYONG ATAI II,,EKPENYONG ATAI HEALTH CENTRE,,,,,,,
457,SSZ,AKWA IBOM,ESSIEN UDIM,IKPE ANNANG,,HEALTH CENTRE IKPE ANNANG,,,,,,,
458,SSZ,AKWA IBOM,ESSIEN UDIM,ODORO IKOT I,,ODORO IKOT 1 HEALTH CENTRE,,,,,,,
459,SSZ,AKWA IBOM,ESSIEN UDIM,ODORO IKOT II,,ODORO IKOT 2 HEALTH CENTRE,,,,,,,
460,SSZ,AKWA IBOM,ESSIEN UDIM,OKON,,"HEALTH CENTRE OKON, IKOT OCHO",,,,,,,
461,SSZ,AKWA IBOM,ESSIEN UDIM,UKANA EAST,,UKANA EAST PRIMARY HEALTH CENTRE,,,,,,,
462,SSZ,AKWA IBOM,ESSIEN UDIM,UKANA WEST I,,HEALTH CENTRE IKOT OTU UKANA WEST,,,,,,,
463,SSZ,AKWA IBOM,ESSIEN UDIM,UKANA WEST II,,"HEALTH CENTRE, UKANA IKOT IDEH",,,,,,,
464,SSZ,AKWA IBOM,ETIM EKPO,ETIM EKPO 1,,IKOT OBIOMA HEALTH CENTRE,,,,,,,
465,SSZ,AKWA IBOM,ETIM EKPO,ETIM EKPO II,,H/C UTU ETIM EKPO,,,,,,,
466,SSZ,AKWA IBOM,ETIM EKPO,ETIM EKPO III,,PRIMARY HEALTH CENTRE URUK ATA IKOT EKPOR OPERATIONAL BASE,,,,,,,
467,SSZ,AKWA IBOM,ETIM EKPO,ETIM EKPO IV,,IKOT EDET HEALTH POST,,,,,,,
468,SSZ,AKWA IBOM,ETIM EKPO,ETIM EKPO IX,,MODEL PRIMARY HEALTH CARE CENTRE IKPE ANNANG,,,,,,,
469,SSZ,AKWA IBOM,ETIM EKPO,ETIM EKPO V,,IKOT EBO HEALTH CENTRE,,,,,,,
470,SSZ,AKWA IBOM,ETIM EKPO,ETIM EKPO VI,,ATAN EKA URUK ESHIET HEALTH CENTRE,,,,,,,
471,SSZ,AKWA IBOM,ETIM EKPO,ETIM EKPO VII,,OBONG NTAK HEALTH CENTRE,,,,,,,
472,SSZ,AKWA IBOM,ETIM EKPO,ETIM EKPO VIII,,IKOT UDOBONG HEALTH CENTRE,,,,,,,
473,SSZ,AKWA IBOM,ETIM EKPO,ETIM EKPO X,,IWUKEM PRIMARY HEALTH CENTRE,,,,,,,
474,SSZ,AKWA IBOM,ETINAN,ETINAN URBAN I,,ETINAN PRIMARY HEALTH CENTRE,,,,,,,
475,SSZ,AKWA IBOM,ETINAN,ETINAN URBAN II,,EKPENE UKPA HEALTH CENTRE,,,,,,,
476,SSZ,AKWA IBOM,ETINAN,ETINAN URBAN III,,IKOT UDO OTO PRIMARY HEALTH CENTRE,,,,,,,
477,SSZ,AKWA IBOM,ETINAN,ETINAN URBAN IV,,EDEM EKPAT PRIMARY HEALTH CENTRE,,,,,,,
478,SSZ,AKWA IBOM,ETINAN,ETINAN URBAN V,,IKOT UDOBIA PRIMARY HEALTH CENTRE,,,,,,,
479,SSZ,AKWA IBOM,ETINAN,NORTHERN IMAN I,,IKOT OBIO INYANG HEALTH CENTRE,,,,,,,
480,SSZ,AKWA IBOM,ETINAN,NORTHERN IMAN II,,IKOT EKAN HEALTH POST,,,,,,,
481,SSZ,AKWA IBOM,ETINAN,SOUTHERN IMAN I,,NKANA HEALTH CENTRE,,,,,,,
482,SSZ,AKWA IBOM,ETINAN,SOUTHERN IMAN II,,IKOT ESEN OKU HEALTH CENTRE,,,,,,,
483,SSZ,AKWA IBOM,ETINAN,SOUTHERN IMAN III,,AKPASAK EFA HEALTH POST,,,,,,,
484,SSZ,AKWA IBOM,ETINAN,SOUTHERN IMAN IV,,IWO ETOR HEALTH CENTRE,,,,,,,
